,DrinkID,DrinkName,Category,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15
403,17222,A1,Cocktail,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,,,,,,,,,,,
402,13501,ABC,Shot,Amaretto,Baileys irish cream,Cognac,,,,,,,,,,,,,1/3 ,1/3 ,1/3 ,,,,,,,,,,,,
401,17225,Ace,Cocktail,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,,,,,
400,17837,Adam,Ordinary Drink,Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,,,,,,,,,,,,
399,13938,AT&T,Ordinary Drink,Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz ,,,,,,,,,,,,
398,14610,ACID,Shot,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1 oz Bacardi ,1 oz ,,,,,,,,,,,,,
397,17833,A. J.,Ordinary Drink,Applejack,Grapefruit juice,,,,,,,,,,,,,,1 1/2 oz ,1 oz ,,,,,,,,,,,,,
396,17839,Affair,Ordinary Drink,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,
395,15106,Apello,Other/Unknown,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,,,,,4 cl ,3 cl ,1 cl ,1 ,,,,,,,,,,,
394,15266,Avalon,Ordinary Drink,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,
393,17835,Abilene,Ordinary Drink,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,,,1 1/2 oz ,2 oz ,3 oz ,,,,,,,,,,,,
392,11023,Almeria,Ordinary Drink,Dark rum,Kahlua,Egg white,,,,,,,,,,,,,2 oz ,1 oz ,1 ,,,,,,,,,,,,
391,17228,Addison,Cocktail,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,,,,,,,,,,,,,
390,17836,Acapulco,Ordinary Drink,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 ,,,,,,,,,
389,17840,Affinity,Ordinary Drink,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,,,,,
388,11046,Applecar,Ordinary Drink,Applejack,Triple sec,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,
387,17180,Aviation,Cocktail,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,
386,11014,Alexander,Ordinary Drink,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,
385,11020,Algonquin,Ordinary Drink,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,,,,,,,,,,,,
384,11021,Allegheny,Ordinary Drink,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,
383,11055,Artillery,Ordinary Drink,Sweet Vermouth,Gin,Bitters,,,,,,,,,,,,,1 1/2 tsp ,1 1/2 oz ,2 dashes ,,,,,,,,,,,,
382,12560,Afterglow,Cocktail,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,,1 part ,4 parts ,4 parts ,,,,,,,,,,,,
381,12756,Autodafé,Ordinary Drink,Vodka,Lime juice,Soda water,,,,,,,,,,,,,4 cl ,1 dash ,,,,,,,,,,,,,
380,13162,Afternoon,Coffee / Tea,Kahlua,Baileys irish cream,Frangelico,Coffee,Cream,,,,,,,,,,,1 cl ,1 cl ,1 1/2 ,4 cl hot ,,,,,,,,,,,
379,15182,After sex,Ordinary Drink,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,,,,,,,,,,,,,
378,13332,B-53,Shot,Kahlua,Sambuca,Grand Marnier,,,,,,,,,,,,,1/3 shot ,1/3 shot ,1/3 shot ,,,,,,,,,,,,
377,15853,B-52,Shot,Baileys irish cream,Grand Marnier,Kahlua,,,,,,,,,,,,,1/3 ,1/3 ,1/4 ,,,,,,,,,,,,
376,17254,Bijou,Cocktail,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,,,,,,1 dash,1 oz,1 oz,1 oz,,,,,,,,,,,
375,11149,Boxcar,Ordinary Drink,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 tsp ,1 ,,,,,,,,,,
374,13222,Big Red,Shot,Irish cream,Goldschlager,,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,,
373,17195,Bellini,Ordinary Drink,Champagne,Peach schnapps,,,,,,,,,,,,,,6 oz ,1 oz ,,,,,,,,,,,,,
372,17210,Bramble,Ordinary Drink,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,,,,,,4 cl,1.5 cl,1 cl,1.5 cl,,,,,,,,,,,
371,11060,Balmoral,Ordinary Drink,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,,,,,,,,,,,
370,11120,Bluebird,Ordinary Drink,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,1 ,1 twist of ,,,,,,,,,
369,178310,Brooklyn,Cocktail,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,,,,,,,2 oz,1 oz,1/4 oz,3 dashes,1,,,,,,,,,,
368,11124,Boomerang,Ordinary Drink,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,,,,,,2 oz ,1/2 oz ,2 dashes ,1/2 tsp ,1 ,,,,,,,,,,
367,12572,Bora Bora,Cocktail,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,,,,,,,10 cl ,6 cl ,1 cl ,1 cl ,,,,,,,,,,,
366,17209,Barracuda,Ordinary Drink,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,,,,,,4.5 cl,1.5 cl,6 cl, 1 dash,top up ,,,,,,,,,,
365,17035,Buccaneer,Beer,Corona,Bacardi Limon,,,,,,,,,,,,,,1 ,1 shot ,,,,,,,,,,,,,
364,17825,Brigadier,Cocktail,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,,,,,,,,,,4 oz,1 oz,1 oz,,,,,,,,,,,,
363,178311,Broadside,Cocktail,151 proof rum,Scotch,Bitters,Wormwood,Ice,,,,,,,,,,,1 shot,1/2 shot,3 drops,1 Fresh,cubes,,,,,,,,,,
362,11106,Blackthorn,Ordinary Drink,Sweet Vermouth,Sloe gin,Lemon peel,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1 twist of ,,,,,,,,,,,,
361,13395,Bob Marley,Shot,Midori melon liqueur,Jägermeister,Goldschlager,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,
360,14730,Bubble Gum,Shot,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,,,,,,,,1/4 ,1/4 ,1/4 ,1/4 ,,,,,,,,,,,
359,16986,Bible Belt,Other/Unknown,Southern Comfort,Triple sec,Lime,Sour mix,,,,,,,,,,,,2 oz ,1/2 oz ,2 wedges ,2 oz ,,,,,,,,,,,
358,17120,Brain Fart,Punch / Party Drink,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,,,,,,,,,,1 fifth ,1 fifth Smirnoff red label ,2 L ,2 L ,1 small bottle ,1 pint ,,,,,,,,,
357,11113,Bloody Mary,Ordinary Drink,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,,,,,,,1 1/2 oz ,3 oz ,1 dash ,1/2 tsp ,2-3 drops ,1 wedge ,,,,,,,,,
356,11117,Blue Lagoon,Ordinary Drink,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,,,,,,1 oz ,1 oz ,,,,,,,,,,,,,
355,11129,Boston Sour,Ordinary Drink,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 ,1 slice ,1 ,,,,,,,,,
354,11164,Brandy Flip,Ordinary Drink,Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,,,,,,,2 oz ,1 whole ,1 tsp superfine ,1/2 oz ,1/8 tsp grated ,,,,,,,,,,
353,17185,Casino,Ordinary Drink,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,,,,,,,2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1 ,,,,,,,,,,
352,11202,Caipirinha,Ordinary Drink,Sugar,Lime,Cachaca,,,,,,,,,,,,,2 tsp,1 ,2 1/2 oz ,,,,,,,,,,,,
351,11239,Cherry Rum,Ordinary Drink,Light rum,Cherry brandy,Light cream,,,,,,,,,,,,,1 1/4 oz ,1 1/2 tsp ,1 tblsp ,,,,,,,,,,,,
350,11288,Cuba Libre,Ordinary Drink,Light rum,Lime,Coca-Cola,,,,,,,,,,,,,2 oz ,Juice of 1/2 ,,,,,,,,,,,,,
349,13751,Cuba Libra,Ordinary Drink,Dark rum,Lime,Coca-Cola,Ice,,,,,,,,,,,,1-2 shot ,Squeeze ,Fill with ,,,,,,,,,,,,
348,14181,Cafe Savoy,Coffee / Tea,Coffee,Milk,Triple sec,Brandy,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,
347,14608,Cream Soda,Cocktail,Spiced rum,Ginger ale,,,,,,,,,,,,,,1 oz ,,,,,,,,,,,,,,
346,17830,Corn n Oil,Cocktail,Lime,Falernum,Angostura Bitters,Añejo rum,blackstrap rum,,,,,,,,,,,1/2,1/3 oz,2 dashes,1 oz,1 oz,,,,,,,,,,
345,11222,Casa Blanca,Ordinary Drink,Light rum,Triple sec,Lime juice,Maraschino liqueur,,,,,,,,,,,,2 oz ,1 1/2 tsp ,1 1/2 tsp ,1 1/2 tsp ,,,,,,,,,,,
344,17186,Clover Club,Ordinary Drink,Gin,Grenadine,Lemon,Egg white,,,,,,,,,,,,1 1/2 oz ,2 tsp ,Juice of 1/2 ,1 ,,,,,,,,,,,
343,17135,Citrus Coke,Soft Drink / Soda,Bacardi Limon,Coca-Cola,,,,,,,,,,,,,,1 part ,2 parts ,,,,,,,,,,,,,
342,11242,Chicago Fizz,Ordinary Drink,Light rum,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,,,,,,,,1 oz ,1 oz ,Juice of 1/2 ,1 tsp ,1 ,,,,,,,,,,
341,11251,City Slicker,Ordinary Drink,Brandy,Triple sec,Lemon juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 tblsp ,,,,,,,,,,,,
340,12800,Coffee-Vodka,Homemade Liqueur,Water,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,,,,,,,,,,2 cups ,2 cups white ,1/2 cup instant ,1/2,1 1/2 cup,,,,,,,,,,
339,13206,Caipirissima,Ordinary Drink,Lime,Sugar,White rum,Ice,,,,,,,,,,,,2 ,2 tblsp ,2-3 oz ,crushed ,,,,,,,,,,,
338,16047,Campari Beer,Beer,Lager,Campari,,,,,,,,,,,,,,1 bottle ,1 1/2 cl ,,,,,,,,,,,,,
337,17196,Cosmopolitan,Cocktail,Absolut Citron,Lime juice,Cointreau,Cranberry juice,,,,,,,,,,,,1 1/4 oz ,1/4 oz ,1/4 oz ,1/4 cup ,,,,,,,,,,,
336,11224,Casino Royale,Ordinary Drink,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,,,,,,,2 oz ,1/2 oz ,1 tsp ,1 dash ,1 ,,,,,,,,,,
335,11255,Clove Cocktail,Ordinary Drink,Sweet Vermouth,Sloe gin,Wine,,,,,,,,,,,,,1 oz ,1/2 oz ,1/2 oz Muscatel ,,,,,,,,,,,,
334,12798,Coffee Liqueur,Homemade Liqueur,Coffee,Vanilla extract,Sugar,Vodka,Water,,,,,,,,,,,10 tblsp instant ,4 tblsp ,2 1/2 cups ,1 qt ,2 1/2 cups ,,,,,,,,,,
333,13328,Chocolate Milk,Shot,Chocolate liqueur,Milk,Amaretto,,,,,,,,,,,,,1/2 shot ,1/2 shot ,1 dash ,,,,,,,,,,,,
332,17108,Coke and Drops,Soft Drink / Soda,Coca-Cola,Lemon juice,,,,,,,,,,,,,,1 dl ,7 drops ,,,,,,,,,,,,,
331,12734,Chocolate Drink,Cocoa,Chocolate,Milk,Water,,,,,,,,,,,,,125 gr,3/4 L ,,,,,,,,,,,,,
330,12808,Creme de Menthe,Homemade Liqueur,Sugar,Water,Grain alcohol,Peppermint extract,Food coloring,,,,,,,,,,,8 cups ,6 cups ,1 pint ,1 oz pure ,1 tblsp green ,,,,,,,,,,
329,12890,Cranberry Punch,Punch / Party Drink,Cranberry juice,Sugar,Pineapple juice,Almond flavoring,Ginger ale,,,,,,,,,,,4 cups ,1 1/2 cup ,4 cups ,1 tblsp ,2 qt ,,,,,,,,,,
328,17187,Derby,Ordinary Drink,gin,Peach Bitters,Mint,,,,,,,,,,,,,6 cl,2 dashes,2 Fresh leaves,,,,,,,,,,,,
327,13128,Diesel,Beer,Lager,Cider,Blackcurrant cordial,,,,,,,,,,,,,1/2 pint ,1/2 pint ,1 dash ,,,,,,,,,,,,
326,11006,Daiquiri,Ordinary Drink,Light rum,Lime,Powdered sugar,,,,,,,,,,,,,1 1/2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,,,,,
325,15409,Danbooka,Coffee / Tea,Coffee,Everclear,,,,,,,,,,,,,,3 parts ,1 part ,,,,,,,,,,,,,
324,11320,Dragonfly,Ordinary Drink,Gin,Ginger ale,Lime,,,,,,,,,,,,,1 1/2 oz ,4 oz ,1 ,,,,,,,,,,,,
323,16991,Downshift,Punch / Party Drink,Fruit punch,Sprite,Tequila,151 proof rum,,,,,,,,,,,,2 part ,1 part ,2 shots ,Float Bacardi ,,,,,,,,,,,
322,11324,Dry Rob Roy,Ordinary Drink,Scotch,Dry Vermouth,Lemon peel,,,,,,,,,,,,,2 1/2 oz ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,,
321,11005,Dry Martini,Cocktail,Gin,Dry Vermouth,Olive,,,,,,,,,,,,,1 2/3 oz ,1/3 oz ,1 ,,,,,,,,,,,,
320,14466,Dirty Nipple,Shot,Kahlua,Sambuca,Baileys irish cream,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,17181,Dirty Martini,Cocktail,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,,,,,
318,14482,Darkwood Sling,Soft Drink / Soda,Cherry Heering,Soda water,Orange juice,Ice,,,,,,,,,,,,1 part ,1 part ,1 part ,cubes,,,,,,,,,,,
317,17177,Dark Caipirinha,Cocktail,demerara Sugar,Lime,Cachaca,,,,,,,,,,,,,2 tsp ,1,2 1/2 oz,,,,,,,,,,,,
316,17182,Duchamp's Punch,Cocktail,Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,,,,,,,,5 cl,2.5 cl,2.5 cl,1.5 cl,2 Dashes,Pinch,2 sprigs,,,,,,,,
315,17211,Dark and Stormy,Ordinary Drink,Dark Rum,Ginger Beer,,,,,,,,,,,,,,5 cl,10 cl,,,,,,,,,,,,,
314,13194,Damned if you do,Shot,Whiskey,Hot Damn,,,,,,,,,,,,,,0.75 oz ,0.25 oz ,,,,,,,,,,,,,
313,11326,Dubonnet Cocktail,Ordinary Drink,Dubonnet Rouge,Gin,Bitters,Lemon peel,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 dash ,1 twist of ,,,,,,,,,,,
312,12736,Drinking Chocolate,Cocoa,Heavy cream,Milk,Cinnamon,Vanilla,Chocolate,Whipped cream,,,,,,,,,,2 oz ,6-8 oz ,1 stick ,1 ,2 oz finely chopped dark ,Fresh ,,,,,,,,,
311,12668,Egg Cream,Other/Unknown,Chocolate syrup,Milk,Soda water,,,,,,,,,,,,,2 tblsp ,6 oz whole ,6 oz ,,,,,,,,,,,,
310,12910,Egg Nog #4,Punch / Party Drink,Egg yolk,Sugar,Milk,Light rum,Bourbon,Vanilla extract,Salt,Whipping cream,Egg white,Sugar,Nutmeg,,,,,6 ,1/4 cup ,2 cups ,1/2 cup ,1/2 cup ,1 tsp ,1/4 tsp ,1 cup ,6 ,1/4 cup ,Ground ,,,,
309,11338,English Highball,Ordinary Drink,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,,,,,
308,17212,Espresso Martini,Cocktail,Vodka,Kahlua,Sugar syrup,,,,,,,,,,,,,5 cl,1 cl,1 dash,,,,,,,,,,,,
307,178309,Espresso Rumtini,Cocktail,Rum,Vanilla syrup,Espresso,Coffee,,,,,,,,,,,,1 shot,1/2 shot,1 shot,1 shot,,,,,,,,,,,
306,12916,Egg Nog - Healthy,Punch / Party Drink,Egg,Sugar,Condensed milk,Milk,Vanilla extract,Rum,Nutmeg,,,,,,,,,1/2 cup ,3 tblsp ,13 oz skimmed ,3/4 cup skimmed ,1 tsp ,1 tsp ,"
","
","
","
","
","
",,,
305,11339,English Rose Cocktail,Ordinary Drink,Apricot brandy,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,,,,,,,,3/4 oz ,1 1/2 oz ,3/4 oz ,1 tsp ,1/4 tsp ,1 ,,,,,,,,,
304,12914,Egg-Nog - Classic Cooked,Punch / Party Drink,Egg,Sugar,Salt,Milk,Vanilla extract,,,,,,,,,,,6 ,1/4 cup ,1/4 tsp ,1 qt ,1 tsp ,,,,,,,,,,
303,17246,Empellón Cocina's Fat-Washed Mezcal,Cocktail,Mezcal,Chocolate liqueur,Coffee liqueur,,,,,,,,,,,,,2 oz,3/4 oz,1/2 oz,,,,,,,,,,,,
302,12768,Frappé,Coffee / Tea,Coffee,Milk,Sugar,,,,,,,,,,,,,1/2 cup black ,1/2 cup ,1-2 tsp ,,,,,,,,,,,,
301,11375,Foxy Lady,Ordinary Drink,Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,,,1/2 oz ,1/2 oz ,2 oz ,,,,,,,,,,,,
300,17197,French 75,Ordinary Drink,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,,,,,,,1 1/2 oz ,2 tsp superfine ,1 1/2 oz ,4 oz Chilled ,1 ,1 ,,,,,,,,,
299,11379,"French ""75""",Ordinary Drink,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,,,,,,,1 1/2 oz ,2 tsp superfine ,1 1/2 oz ,4 oz Chilled ,1 ,1 ,,,,,,,,,
298,11382,Frisco Sour,Ordinary Drink,Blended whiskey,Benedictine,Lemon,Lime,Lemon,Lime,,,,,,,,,,2 oz ,1/2 oz ,Juice of 1/4 ,Juice of 1/2 ,1 slice ,1 slice ,,,,,,,,,
297,12674,Fruit Shake,Other/Unknown,Yoghurt,Banana,Orange juice,Fruit,Ice,,,,,,,,,,,1 cup fruit ,1 ,4 oz frozen ,1/2 piece textural ,6 ,,,,,,,,,,
296,12670,Fruit Cooler,Other/Unknown,Apple juice,Strawberries,Sugar,Lemon,Apple,Soda water,Ice,,,,,,,,,1 can frozen ,1 cup ,2 tblsp ,1 ,1 ,1 L ,,,,,,,,,
295,14688,Freddy Kruger,Shot,Jägermeister,Sambuca,Vodka,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,
294,15743,Fuzzy Asshole,Coffee / Tea,Coffee,Peach schnapps,,,,,,,,,,,,,,1/2 ,1/2 ,,,,,,,,,,,,,
293,17213,French Martini,Cocktail,Vodka,Raspberry Liqueur,pineapple juice,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,
292,17248,French Negroni,Cocktail,Gin,Lillet,Sweet Vermouth,Orange Peel,,,,,,,,,,,,1 oz,1 oz,1 oz,1,,,,,,,,,,,
291,11368,Flying Dutchman,Ordinary Drink,Gin,Triple sec,,,,,,,,,,,,,,2 oz ,1/2 oz ,,,,,,,,,,,,,
290,11387,Frozen Daiquiri,Ordinary Drink,Light rum,Triple sec,Lime juice,Sugar,Cherry,Ice,,,,,,,,,,1 1/2 oz ,1 tblsp ,1 1/2 oz ,1 tsp ,1 ,1 cup crushed ,,,,,,,,,
289,12672,Fruit Flip-Flop,Other/Unknown,Yoghurt,Fruit juice,,,,,,,,,,,,,,1 cup ,1 cup ,,,,,,,,,,,,,
288,13070,Fahrenheit 5000,Shot,Firewater,Absolut Peppar,Tabasco sauce,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1 dash ,,,,,,,,,,,,
287,11369,Flying Scotchman,Ordinary Drink,Scotch,Sweet Vermouth,Bitters,Sugar syrup,,,,,,,,,,,,1 oz ,1 oz ,1 dash ,1/4 tsp ,,,,,,,,,,,
286,17198,French Connection,Ordinary Drink,Cognac,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,
285,13202,Flaming Dr. Pepper,Shot,Amaretto,Vodka,151 proof rum,Dr. Pepper,Beer,,,,,,,,,,,1 oz ,1 oz ,1 oz Bacardi ,1 oz ,1 oz ,,,,,,,,,,
284,13675,Flander's Flake-Out,Ordinary Drink,Sambuca,Sarsaparilla,,,,,,,,,,,,,,1/4 glass ,3/4 glass ,,,,,,,,,,,,,
283,16485,Flaming Lamborghini,Cocktail,Kahlua,Sambuca,Blue Curacao,Baileys irish cream,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,,,,
282,11390,Frozen Mint Daiquiri,Ordinary Drink,Light rum,Lime juice,Mint,Sugar,,,,,,,,,,,,2 oz ,1 tblsp ,6 ,1 tsp ,,,,,,,,,,,
281,11391,Frozen Pineapple Daiquiri,Ordinary Drink,Light rum,Pineapple,Lime juice,Sugar,,,,,,,,,,,,1 1/2 oz ,4 chunks ,1 tblsp ,1/2 tsp ,,,,,,,,,,,
280,15997,GG,Ordinary Drink,Galliano,Ginger ale,Ice,,,,,,,,,,,,,2 1/2 shots ,,,,,,,,,,,,,,
279,17255,Gimlet,Cocktail,Gin,Lime Juice,Sugar Syrup,Lime,,,,,,,,,,,,2 1/2 oz,1/2 oz,1/2 oz,1,,,,,,,,,,,
278,11410,Gin Fizz,Ordinary Drink,Gin,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,,,,,
277,11417,Gin Sour,Ordinary Drink,Gin,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1 ,1 ,,,,,,,,,,
276,11422,Godchild,Ordinary Drink,Vodka,Amaretto,Heavy cream,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,
275,11408,Gin Daisy,Ordinary Drink,Gin,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1/2 tsp ,1 ,1 ,,,,,,,,,
274,11415,Gin Sling,Ordinary Drink,Gin,Lemon,Powdered sugar,Water,Orange peel,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 tsp ,Twist of ,,,,,,,,,,
273,11416,Gin Smash,Ordinary Drink,Gin,Carbonated water,Sugar,Mint,Orange,Cherry,,,,,,,,,,2 oz ,1 oz ,1 cube ,4 ,1 slice ,1 ,,,,,,,,,
272,11420,Gin Toddy,Ordinary Drink,Gin,Water,Powdered sugar,Lemon peel,,,,,,,,,,,,2 oz ,2 tsp ,1/2 tsp ,1 twist of ,,,,,,,,,,,
271,11423,Godfather,Ordinary Drink,Scotch,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,
