Name,spirits,alcohol-free,falvor1,flavor2
151 proof rum (oz),rum,,,
7-up (oz),,soda,,
absinthe,grain alcohol,,herb,anis
absolut citron (oz),vodka,,citrus,
absolut kurant (cl),vodka,,currant,
absolut peppar (oz),vodka,,spice,
absolut vodka (shot),vodka,,,
advocaat (oz),brandy,syrup,egg,
agave syrup (spoon),,syrup,agave,
allspice (tblsp),,,spice,
almond flavoring (tblsp),,,almond,
amaretto (oz),,,almond,
angostura bitters (dash),,bitters,,
anis (tsp),,,anis,
anisette (oz),grain alcohol,,anis,
aperol (cl),campari,,,
apfelkorn (cl),grain alcohol,,apple,
apple (cup),,,apple,
apple brandy (shot),brandy,,apple,
apple juice (cl),,,apple,
applejack (oz),whiskey,,apple,
apricot brandy (oz),brandy,,,
asafoetida (pinch),,,spice,
añejo rum (oz),rum,,,
bacardi limon (oz),brandy,,citrus,
bailey (oz),whiskey,,cream,cocoa
baileys irish cream (oz),whiskey,,cream,cocoa
banana,,,banana,
banana liqueur,grain alcohol,,banana,
beer (oz),beer,,,
benedictine (oz),grain alcohol,,herb,
bitter lemon (oz),,,lemon,
bitters (dash),,bitters,,
black sambuca (ml),grain alcohol,syrup,anis,berries
black pepper,,,spice,
blackberries,,,berries,
blackberry brandy (oz),brandy,,berries,
blackcurrant cordial (dash),,,currant,
blended scotch (oz),whiskey,,,
blended whiskey (oz),whiskey,,,
blue curacao (oz),,,citrus,
bourbon (oz),whiskey,,,
brandy (oz),brandy,,,
brown sugar (tsp),,syrup,,
butter (tsp),,,butter,
butterscotch schnapps (oz),grain alcohol,syrup,butter,
cachaca (oz),grain alcohol,syrup,lime,
campari (oz),campari,,,
caramel coloring (part or not unit),,syrup,,
carbonated soft drink,,soda,,
carbonated water (oz),,soda,,
cardamom,,,spice,
cayenne pepper,,,spice,
celery salt (dash),,,salt,
chambord raspberry liqueur (oz),,,berries,
champagne (oz),champagne,,,
cherries (part or not unit),,,cherry,
cherry,,,cherry,
cherry heering (oz),brandy,,cherry,
cherry juice (bottle),,,cherry,
cherry brandy (oz),brandy,,cherry,
cherry liqueur (oz),grain alcohol,,cherry,
chocolate (oz),,,cocoa,
chocolate liqueur (shot),grain alcohol,,cocoa,
chocolate syrup (tblsp),,syrup,cocoa,
cider (pint),beer,,apple,
cinnamon,,,cinnamon,
cloves,,,spice,
club soda (oz),,soda,,
coca-cola,,coke,,
cocoa powder (tsp),,,cocoa,
coconut milk (tblsp),,milk,coconut,
coconut syrup (drop),,syrup,coconut,
coffee (oz),,coffee,,
coffee brandy (oz),brandy,coffee,,
coffee liqueur (oz),grain alcohol,coffee,,
cognac (oz),brandy,,,
cointreau (oz),grain alcohol,,citrus,
condensed milk (tsp),,milk,,
coriander (tsp),,,herb,
corn syrup (cup),,syrup,,
corona (bottle),beer,,,
cranberry juice (oz),,,berries,
cranberry vodka (cl),vodka,,,
cream (oz),,,cream,
cream of coconut (cup),,,cream,coconut
creme de banane (cl),grain alcohol,,banana,
creme de cacao (oz),grain alcohol,,cocoa,
creme de cassis (oz),grain alcohol,,currant,
creme de mure (cl),grain alcohol,,berries,
crown royal (shot),whiskey,,,
cucumber,,,cucumber,
cumin seed (tsp),,,spice,
curacao (dash),grain alcohol,,citrus,
daiquiri mix,rum,syrup,lime,
dark rum (oz),rum,,,
dr. pepper (oz),,soda,,
drambuie (oz),whiskey,,herb,spice
dry vermouth (oz),wine,,herb,
dubonnet rouge (oz),wine,campari,herb,
egg,,,egg,
egg white,,,egg,
egg yolk,,,egg,
elderflower cordial (ml),,syrup,herb,
espresso (shot),,coffee,,
everclear (ml),vodka,,,
falernum (oz),rum,,,
firewater (oz),whiskey,,ginger,lime
food coloring (tblsp),,,,
frangelico (oz),grain alcohol,,herb,
fresca (part or not unit),,,soda,lime
fruit (cup),,,tropical fruit,
fruit juice (cup),,,tropical fruit,
fruit punch (oz),grain alcohol,,tropical fruit,
galliano (oz),grain alcohol,,herb,
gin (oz),gin,,,
ginger,,,ginger,
ginger beer (cl),beer,,ginger,
ginger syrup (tsp),,syrup,ginger,
ginger ale (oz),,,ginger,
godiva liqueur (shot),grain alcohol,,cocoa,
gold rum (oz),rum,,,
goldschlager (oz),whiskey,,spice,
grain alcohol (oz),grain alcohol,,,
grand marnier,brandy,syrup,citrus,
grape soda (oz),,soda,grape,
grape juice (oz),,,grape,
grapefruit juice (oz),,,grape,
green chartreuse (oz),grain alcohol,,herb,
green creme de menthe (oz),grain alcohol,syrup,mint,
grenadine (tsp),,syrup,guava,
guinness stout,beer,,,
half-and-half (cup),,,cream,
heavy cream (oz),,,cream,
honey (tblsp),,syrup,,
honey syrup (tsp),,syrup,,
hot chocolate (oz),,,cocoa,
hot damn (shot),brandy,,cinnamon,
ice,,,ice,
iced tea (oz),,tea,,
irish whiskey (oz),whiskey,,,
irish cream (oz),,,cream,
islay single malt scotch (oz),whiskey,,,
jack daniels (oz),whiskey,,,
jagermeister (oz),grain alcohol,,herb,spice
jello,,,jello,
jim beam (oz),whiskey,,,
jägermeister (oz),grain alcohol,,herb,spice
kahlua (oz),rum,coffee,,
kiwi,,,kiwi,
kiwi liqueur (oz),grain alcohol,,kiwi,
kool-aid (oz),,,jello,
lager (pint),beer,,,
lavender,,,lavender,
lemon,,,lemon,
lemon juice (oz),,,lemon,
lemon peel,,,lemon,
lemon-lime soda (oz),,soda,lemon,
lemonade (oz),,syrup,lemon,
light cream (oz),,,cream,
light rum (oz),rum,,,
lillet (oz),wine,syrup,citrus,mint
lillet blanc (cl),wine,syrup,citrus,mint
lime,,,lime,
lime juice (oz),,,lime,
lime peel,,,lime,
lime vodka (oz),vodka,,lime,
limeade (oz),,syrup,lime,
malibu rum (oz),rum,,coconut,
mango,,,tropical fruit,
maple syrup (oz),,syrup,tropical fruit,
maraschino cherry,,,cherry,
maraschino liqueur (tsp),grain alcohol,,cherry,
marshmallows,,,marshmallows,
mezcal (oz),tequila,,agave,
midori melon liqueur (oz),grain alcohol,,tropical fruit,
milk (cup),,milk,,
mint,,,mint,
mint syrup (part or not unit),,syrup,mint,
mountain dew (L),,soda,,
nutmeg (tsp),,,spice,
olive,,,olive,
olive brine,,,olive,salt
orange,,,citrus,
orange bitters (dash),,bitters,citrus,
orange curacao (oz),grain alcohol,,citrus,
orange juice (oz),,,citrus,
orange peel,,,citrus,
orange spiral,,,citrus,
oreo cookie,,,cookie,
orgeat syrup (oz),,syrup,almond,
ouzo (oz),wine,,grape,anis
papaya,,,tropical fruit,
passion fruit juice (cl),,,tropical fruit,
peach bitters (dash),,bitters,peach,
peach vodka (oz),vodka,,peach,
peach brandy (oz),brandy,,peach,
peach nectar (oz),,syrup,peach,
peach schnapps (oz),grain alcohol,,peach,
peachtree schnapps (shot),grain alcohol,,peach,
pepper,,,spice,
peppermint extract (oz),,,mint,
pepsi cola (oz),,coke,,
pernod (tsp),,herb,anis,
peychaud bitters (dash),,bitters,,
pina colada mix,rum,,tropical fruit,
pineapple,,,tropical fruit,
pineapple juice (oz),,,tropical fruit,
pineapple syrup (cl),,syrup,tropical fruit,
pink lemonade (cup),,syrup,lemon,
pisang ambon (oz),grain alcohol,,banana,
pisco (oz),brandy,,,
port (oz),wine,,,
powdered sugar (tsp),,syrup,,
prosecco (cl),champagne,,,
raspberry liqueur (cl),grain alcohol,,berries,
raspberry syrup (tsp),,syrup,berries,
raspberry vodka (oz),vodka,,berries,
red chili flakes,,,chili,
red wine (bottle),wine,,,
ricard (tsp),,,anis,
root beer (oz),beer,,,
rosemary,,,herb,
rosso vermouth (ml),wine,,herb,
rum (oz),rum,,,
rye whiskey (oz),whiskey,,,
salt (tsp),,,salt,
sambuca (oz),grain alcohol,,anis,
sarsaparilla,,,herb,
schweppes russchian (cl),,soda,citrus,
scotch (oz),whiskey,,,
sherbet (part or not unit),,ice cream,tropical fruit,
sherry (oz),wine,,,
sirup of roses (oz),,syrup,rose,
sloe gin (oz),gin,,berries,
soda water,,soda,,
sour mix (oz),,syrup,lime,
southern comfort (oz),whiskey,,spice,citrus
spiced rum (oz),rum,,spice,
sprite (oz),,soda,,
st. germain (cl),grain alcohol,syrup,herb,
strawberries (cup),,,berries,
strawberry schnapps (oz),grain alcohol,,berries,
sugar (tsp),,syrup,,
sugar syrup (cl),,syrup,,
surge (shot),,soda,citrus,
sweet vermouth (oz),wine,,herb,
sweet and sour (oz),,syrup,lime,
tabasco sauce,vinegar,salt,spice,
tea,,tea,,
tennessee whiskey (oz),whiskey,,,
tequila (oz),tequila,,,
tia maria (oz),rum,coffee,syrup,
tomato juice (cl),,,tomato,
tonic water (ml),,soda,,
triple sec (oz),grain alcohol,,citrus,
tropicana (oz),,,tropical fruit,
vanilla,,vanilla,,
vanilla extract (tsp),,vanilla,,
vanilla ice-cream,,vanilla,ice cream,
vanilla syrup (shot),,syrup,vanilla,
vermouth (cl),wine,,herb,
vodka (oz),vodka,,,
water (cup),,water,,
whipped cream (tblsp),,,cream,
whipping cream (cup),,,cream,
whiskey (oz),whiskey,,,
whisky (cl),whiskey,,,
white creme de menthe (oz),grain alcohol,,mint,
white rum (cl),rum,,,
white wine (ml),wine,,,
wild turkey (oz),whiskey,,,
wine (oz),wine,,,
worcestershire sauce (tsp),vinegar,,ginger,spice
wormwood,,,herb,
yellow chartreuse (oz),grain alcohol,,herb,
yoghurt (cup),,yoghurt,,
yukon jack (oz),whiskey,syrup,,
zima (oz),,soda,,
blackstrap rum (oz),rum,,,
demerara sugar (tsp),,syrup,,